date,gender_group,age_group,value
2013-07-01,male,40_49,263.22188018803035
2013-08-01,male,40_49,294.99457471829965
2013-09-01,male,40_49,267.45933769528597
2013-10-01,male,40_49,252.6170786126159
2013-11-01,male,40_49,269.98932925464953
2013-12-01,male,40_49,267.57182160668265
2014-01-01,male,40_49,300.02175731099373
2014-02-01,male,40_49,229.61869263317817
2014-03-01,male,40_49,271.9264097456015
2014-04-01,male,40_49,250.93192689406501
2014-05-01,male,40_49,265.3966194059719
2014-06-01,male,40_49,257.4649235310419
2014-07-01,male,40_49,216.18187352189972
2014-08-01,male,40_49,260.0068210055398
2014-09-01,male,40_49,261.0483504037627
2014-10-01,male,40_49,279.3566051511954
2014-11-01,male,40_49,265.25664588027246
2014-12-01,male,40_49,202.81375067174494
2015-01-01,male,40_49,256.496145174855
2015-02-01,male,40_49,224.64625291334892
